"date","days_old","exp_day","diversity","species_N","sample_code","treatment","treatment_code","replicate","species_counted","treatment_code_species","vol_um3","cells_ul","biov_um3_ul"
"02.12.2019",0,0,"communities",5,"COM1","Community","COM",1,"Tisochrysis","COM_Ti",24.28920184,29.80451404,723.9278572
"02.12.2019",0,0,"communities",5,"COM2","Community","COM",2,"Amphidinium","COM_A",309.8685704,2.703787794,837.8188582
"02.12.2019",0,0,"communities",5,"COM2","Community","COM",2,"Tetraselmis","COM_T",168.3395298,6.5,1094.206944
"02.12.2019",0,0,"communities",5,"COM2","Community","COM",2,"Dunaliella","COM_D",110.8820436,8.862921758,982.7388769
"02.12.2019",0,0,"communities",5,"COM2","Community","COM",2,"Synechococcus","COM_S",5.430463068,190.7671809,1035.954131
"02.12.2019",0,0,"communities",5,"COM2","Community","COM",2,"Tisochrysis","COM_Ti",24.28920184,22.73065786,552.1095366
"02.12.2019",0,0,"communities",5,"COM3","Community","COM",3,"Amphidinium","COM_A",309.8685704,1.858854108,576.000465
"02.12.2019",0,0,"communities",5,"COM3","Community","COM",3,"Tetraselmis","COM_T",168.3395298,4.5,757.5278843
"02.12.2019",0,0,"communities",5,"COM3","Community","COM",3,"Dunaliella","COM_D",110.8820436,9.601498571,1064.633783
"02.12.2019",0,0,"communities",5,"COM3","Community","COM",3,"Synechococcus","COM_S",5.430463068,244.7578925,1329.148696
"02.12.2019",0,0,"communities",5,"COM3","Community","COM",3,"Tisochrysis","COM_Ti",24.28920184,21.03293237,510.8731397
"02.12.2019",0,0,"communities",5,"COM4","Community","COM",4,"Amphidinium","COM_A",309.8685704,2.703787794,837.8188582
"02.12.2019",0,0,"communities",5,"COM4","Community","COM",4,"Tetraselmis","COM_T",168.3395298,6.25,1052.122062
"02.12.2019",0,0,"communities",5,"COM4","Community","COM",4,"Dunaliella","COM_D",110.8820436,7.570412335,839.4227907
"02.12.2019",0,0,"communities",5,"COM4","Community","COM",4,"Synechococcus","COM_S",5.430463068,233.9597502,1270.509783
"02.12.2019",0,0,"communities",5,"COM4","Community","COM",4,"Tisochrysis","COM_Ti",24.28920184,21.03293237,510.8731397
"02.12.2019",0,0,"communities",5,"COM5","Community","COM",5,"Amphidinium","COM_A",309.8685704,3.210748005,994.9098941
"02.12.2019",0,0,"communities",5,"COM5","Community","COM",5,"Tetraselmis","COM_T",168.3395298,4.5,757.5278843
"02.12.2019",0,0,"communities",5,"COM5","Community","COM",5,"Dunaliella","COM_D",110.8820436,8.493633352,941.7914237
"02.12.2019",0,0,"communities",5,"COM5","Community","COM",5,"Synechococcus","COM_S",5.430463068,273.5529387,1485.519131
"02.12.2019",0,0,"communities",5,"COM5","Community","COM",5,"Tisochrysis","COM_Ti",24.28920184,21.88179512,531.4913382
"03.12.2019",1,1,"monocultures",1,"A1","Amphidinium","A",1,"Amphidinium","A",387.3727709,20,7747.455419
"03.12.2019",1,1,"monocultures",1,"A2","Amphidinium","A",2,"Amphidinium","A",332.6561025,17.5,5821.481793
"03.12.2019",1,1,"monocultures",1,"A3","Amphidinium","A",3,"Amphidinium","A",332.0379786,26.25,8715.996938
"03.12.2019",1,1,"monocultures",1,"T1","Tetraselmis","T",1,"Tetraselmis","T",231.8739685,111.25,25795.97899
"03.12.2019",1,1,"monocultures",1,"T2","Tetraselmis","T",2,"Tetraselmis","T",279.6420436,113.75,31809.28246
"03.12.2019",1,1,"monocultures",1,"T3","Tetraselmis","T",3,"Tetraselmis","T",286.0725839,85,24316.16963
"03.12.2019",1,1,"monocultures",1,"D1","Dunaliella","D",1,"Dunaliella","D",96.49035718,93.75,9045.970986
"03.12.2019",1,1,"monocultures",1,"D2","Dunaliella","D",2,"Dunaliella","D",111.4587867,58.75,6548.203718
"03.12.2019",1,1,"monocultures",1,"D3","Dunaliella","D",3,"Dunaliella","D",108.2352748,50,5411.763738
"03.12.2019",1,1,"monocultures",1,"S1","Synechococcus","S",1,"Synechococcus","S",4.176651046,2225,9293.048577
"03.12.2019",1,1,"monocultures",1,"S2","Synechococcus","S",2,"Synechococcus","S",5.045475895,2175,10973.91007
"03.12.2019",1,1,"monocultures",1,"S3","Synechococcus","S",3,"Synechococcus","S",4.597144921,2125,9768.932958
"03.12.2019",1,1,"monocultures",1,"Ti1","Tisochrysis","Ti",1,"Tisochrysis","Ti",27.29575077,750,20471.81308
"03.12.2019",1,1,"monocultures",1,"Ti2","Tisochrysis","Ti",2,"Tisochrysis","Ti",28.9617982,625,18101.12387
"03.12.2019",1,1,"monocultures",1,"Ti3","Tisochrysis","Ti",3,"Tisochrysis","Ti",30.2761849,375,11353.56934
"03.12.2019",1,1,"pairs",2,"DA1","Dunaliella-Amphidinium","DA",1,"Dunaliella","DA_D",97.88667404,36.25,3548.391934
"03.12.2019",1,1,"pairs",2,"DA1","Dunaliella-Amphidinium","DA",1,"Amphidinium","DA_A",364.2225427,12.5,4552.781783
"03.12.2019",1,1,"pairs",2,"DA2","Dunaliella-Amphidinium","DA",2,"Dunaliella","DA_D",99.16302641,37.5,3718.613491
"03.12.2019",1,1,"pairs",2,"DA2","Dunaliella-Amphidinium","DA",2,"Amphidinium","DA_A",280.0953693,11.25,3151.072904
"03.12.2019",1,1,"pairs",2,"DA3","Dunaliella-Amphidinium","DA",3,"Dunaliella","DA_D",81.76443867,18.75,1533.083225
"03.12.2019",1,1,"pairs",2,"DA3","Dunaliella-Amphidinium","DA",3,"Amphidinium","DA_A",331.5720325,8.75,2901.255285
"03.12.2019",1,1,"pairs",2,"DS1","Dunaliella-Synechococcus","DS",1,"Dunaliella","DS_D",89.5104204,48.75,4363.632994
"03.12.2019",1,1,"pairs",2,"DS1","Dunaliella-Synechococcus","DS",1,"Synechococcus","DS_S",4.587228541,875,4013.824973
"03.12.2019",1,1,"pairs",2,"DS2","Dunaliella-Synechococcus","DS",2,"Dunaliella","DS_D",107.2824784,15,1609.237175
"03.12.2019",1,1,"pairs",2,"DS2","Dunaliella-Synechococcus","DS",2,"Synechococcus","DS_S",4.259310689,1150,4898.207292
"03.12.2019",1,1,"pairs",2,"DS3","Dunaliella-Synechococcus","DS",3,"Dunaliella","DS_D",100.5990039,27.5,2766.472608
"03.12.2019",1,1,"pairs",2,"DS3","Dunaliella-Synechococcus","DS",3,"Synechococcus","DS_S",4.216884883,1275,5376.528226
"03.12.2019",1,1,"pairs",2,"SA1","Synechococcus-Amphidinium","SA",1,"Amphidinium","SA_A",275.3729571,8.75,2409.513374
"03.12.2019",1,1,"pairs",2,"SA1","Synechococcus-Amphidinium","SA",1,"Synechococcus","SA_S",3.676677043,1125,4136.261674
"03.12.2019",1,1,"pairs",2,"SA2","Synechococcus-Amphidinium","SA",2,"Amphidinium","SA_A",288.3250603,13.75,3964.469579
"03.12.2019",1,1,"pairs",2,"SA2","Synechococcus-Amphidinium","SA",2,"Synechococcus","SA_S",4.077575524,850,3465.939195
"03.12.2019",1,1,"pairs",2,"SA3","Synechococcus-Amphidinium","SA",3,"Amphidinium","SA_A",311.4632822,3.75,1167.987308
"03.12.2019",1,1,"pairs",2,"SA3","Synechococcus-Amphidinium","SA",3,"Synechococcus","SA_S",4.388413841,875,3839.862111
"03.12.2019",1,1,"pairs",2,"TA1","Tetraselmis-Amphidinium","TA",1,"Amphidinium","TA_A",254.8384215,21.25,5415.316457
"03.12.2019",1,1,"pairs",2,"TA1","Tetraselmis-Amphidinium","TA",1,"Tetraselmis","TA_T",220.7894294,48.75,10763.48469
"03.12.2019",1,1,"pairs",2,"TA2","Tetraselmis-Amphidinium","TA",2,"Amphidinium","TA_A",291.7067485,13.75,4010.967791
"03.12.2019",1,1,"pairs",2,"TA2","Tetraselmis-Amphidinium","TA",2,"Tetraselmis","TA_T",229.9711102,51.25,11786.0194
"03.12.2019",1,1,"pairs",2,"TA3","Tetraselmis-Amphidinium","TA",3,"Amphidinium","TA_A",303.8741808,18.75,5697.640891
"03.12.2019",1,1,"pairs",2,"TA3","Tetraselmis-Amphidinium","TA",3,"Tetraselmis","TA_T",249.8395863,62.5,15614.97414
"03.12.2019",1,1,"pairs",2,"TD1","Tetraselmis_Dunaliella","TD",1,"Tetraselmis","TD_T",266.7591491,51.25,13671.40639
