Liatris aspera,Solidago rigida,Achillea millefolium,Monarda fistulosa,Asclepias tuberosa,Lespedeza capitata,Dalea villosa,Dalea candida,Dalea purpurea,Amorpha canescens,Lupinus perennis,Panicum virgatum,Andropogon gerardii,Schizachyrium scoparium,Sorghastrum nutans,Poa pratensis,Koeleria micrathera,Elymus smithii
0,1.6558823529411764,0.16076470588235295,0,0,1.2098235294117647,0,0,0,0,0,0,1.863705882352941,0.6676470588235294,0.8078235294117647,0,0,0
0,0,0.4338181818181818,0,0,0,0,0,0,0,8.811181818181819,0,15.031181818181818,0,0,0.7074545454545454,0,0
0,4.675944444444444,0.5222222222222223,0,0,0,0,0,0,0,7.887944444444445,0,1.2092777777777777,0.5231666666666667,0,0.36944444444444446,0,0
0,0,0.4117,0,0,0,0,0,0,0,0,0.6982999999999999,1.0117,2.1533,0,0,0,0
4.5233333333333325,0,1.9888666666666666,0,0.20446666666666669,0,0,0,0,0,8.384466666666667,0,0,0,0,0.6855333333333333,2.4466666666666668,0
0,0,0.45268,0,0,0,3.752,0.16399999999999998,0,0,0,0,0,0,0,0,1.746,0.9133199999999999
0,0,0.15882352941176472,0,0,0,6.735294117647059,0.2882352941176471,0,0,0,0,0,0,1.5852941176470587,0,2.207823529411765,0.03723529411764706
0,0,0.3525384615384616,0,0,3.937153846153846,2.548692307692308,0.191,0,0,0,0,0,2.5871538461538464,0,0,1.5307692307692307,0
0,1.8611250000000001,0.5888749999999999,0,0,1.6888750000000001,2.436125,0.09583333333333333,0,0,0,0,0,0,0,0,0,0
0,0,0.4033333333333333,2.0588666666666664,0,0,0.7033333333333334,0.2022,0,0,10.406666666666666,0,0,0.62,3.4144666666666668,2.2088666666666668,0,0
2.7289473684210526,1.0087894736842107,0.7227894736842105,0,0,0,0,0.09210526315789473,0,0,11.123684210526315,0,0,0,0,3.5754210526315795,0,0
0.8813076923076923,0,0.4451538461538461,0,0,0,0,0,1.926,0,10.892846153846154,0,0,5.540615384615385,0,0,0,0
2.122529411764706,0,0.09805882352941177,0,0,0,0,0,3.8637058823529418,0,0,0.6284117647058823,0,3.671588235294118,0,0,0,0
0,0,0.4645625,0,0,0,0,0,1.2301875,0,9.1926875,0.4708125,0,0.884375,4.0708125,2.575,0,0
8.217611111111111,0,0.37127777777777776,0,0,0,0,0,0,0,0,0,0,0,0.5648333333333333,1.0592777777777778,1.0370555555555556,0.9787222222222223
0,0,0.9366666666666668,0,0,1.8033333333333335,0,0,0,0,7.965533333333334,0,0,5.846666666666667,0,0.6122,0.84,0
0,0,0.3315238095238095,0,0,1.498190476190476,0,0,0,0,7.858190476190476,0,0,1.156047619047619,0,0,2.908,0
1.3107142857142857,11.170214285714286,0.25,1.0130714285714286,0,1.008357142857143,0,0,0,0,0,1.491642857142857,0,6.410714285714286,0.38807142857142857,0.2809285714285714,0,0
1.0583125,0,0.7083125,0,0,2.4979375,0,0,0,0,0,0,0,1.265625,0,0,0,0
0,3.4810588235294118,0.1623529411764706,4.56635294117647,0,0.5984117647058823,0,0,0,0,10.407823529411765,0.8636470588235294,0,2.0476470588235296,0.48117647058823526,1.8754117647058823,0,0
0,0,0.5130714285714285,0,0,1.0583571428571428,0,0,0,0,14.761928571428571,1.6071428571428572,0,2.882142857142857,0,5.4405,0,0
