Liatris aspera,Solidago rigida,Achillea millefolium,Monarda fistulosa,Lespedeza capitata,Dalea villosa,Dalea candida,Dalea purpurea,Amorpha canescens,Lupinus perennis,Panicum virgatum,Andropogon gerardii,Schizachyrium scoparium,Sorghastrum nutans,Poa pratensis,Koeleria micrathera
0,0,0,0,1.1583333333333334,0,0,0,1.3731666666666666,3.253722222222222,0,2.4944444444444445,1.1565,4.5685,0.7111111111111111,0
0,0.31570588235294117,0,0,0.9411764705882353,0,0,0,2.9676470588235295,2.799,0,0.9382352941176471,1.8764705882352941,1.5519411764705882,0,0
0,0,0,0,0,0,0,0,1.0404761904761906,2.3031904761904762,0,4.196809523809524,2.4563333333333333,0,0,0
0,0,0,0,4.3268,0,0,1.9491333333333332,4.359866666666666,0,0,0,4.138533333333333,0,0,0.4406666666666667
0,0,0,0,1.2962777777777776,0,0,0,0.5120555555555556,5.975,0,0,2.809277777777778,1.104611111111111,0,0
0,0,0,0,0,0,0,0,3.3598235294117647,3.896058823529412,0,0,2.9176470588235297,3.0715882352941177,0.45588235294117646,0
0,0,0,0,0,0,0,0,0,0,0,7.621479581529582,0,0,0,0
0,0,0,0,1.6211333333333333,2.0233333333333334,0.67,0,0,0,0,1.5733333333333335,4.987799999999999,0,0,0.7722
0.8102307692307692,0,0,0,0,1.7974615384615384,0.12176923076923077,0,0,0,0,1.5076923076923079,0,0,0,0
0,0,0,0,0,2.742857142857143,0.2928571428571428,0,0,0,0,2.0285714285714285,4.454785714285714,2.0869285714285715,0,0
0,0,0,0,0,5.070538461538462,0,8.862846153846153,0,0,0,1.191,2.951307692307692,3.014076923076923,0.09484615384615386,0
0,0,0,0,1.0510625,0,0,1.9114375,0,7.0614375,0,3.265625,2.58125,0,0.5948125,0
0,0,0,0,1.12415,0,0,1.74665,0,3.1633500000000003,0,4.4925,5.03335,1.24085,0.09585,0
0,0,0,0,1.4866666666666668,0,0,1.49,0,6.604466666666666,0,1.2778,8.747800000000002,3.966666666666667,0,0
0,0,0,0,0,0,0,3.975,0,0,0,1.5483,7.654999999999999,0,0,0
0,0,0,0,0.5260625,0.853125,0,0,0,4.69375,0,6.7979375,0,5.4291875,0.1645625,0
0,0,0,0,0,0,0,0,0,0,0,8.685906249999999,0,0,0,1.734125
0,2.252473684210526,0,0,1.7773684210526317,0,0,0,0,4.158263157894737,0,9.251684210526316,0,2.1059473684210523,0.3243684210526316,0.7042105263157895
0,0.32225,0,0,0,0,0,0,0,0,0,3.1597500000000003,0,0,0,0.9333333333333332
0,0,0,0,5.48075,0,0,0,0,3.7973125,3.5005,2.048875,0,0,0.6004375,0
0,0,0,0,1.757388888888889,0,0,0,0,0.5176111111111111,2.7712777777777777,2.845388888888889,1.579611111111111,1.5194444444444446,0.18333333333333332,0
0,7.718583333333334,0,0,3.2776666666666667,0,0,0,0,6.031083333333334,0,13.076416666666667,0,4.531666666666667,0.99975,0
0,0,0,0,0,0,0,0,0,11.555777777777777,0,33.43111111111111,0,0,0,0
0,0,0,0,0,0,0,0,0,5.681133333333333,0,5.861133333333333,3.2822,0,0.1322,0
0,0,0,0,0,0,0,0,0,3.816625,0,5.508375,0,24.6125,0.135375,0
0,0,0,0,0,0,0,0,0,4.390176470588235,0,3.0980588235294118,3.864705882352941,0,0,0
0,1.6777777777777778,0,0,0,0,0,0,0,0,0,0.9916666666666667,0,2.4194444444444443,0.2222222222222222,0
0,1.8607647058823529,0,0,5.8764705882352946,1.3166470588235293,0.30782352941176466,0,0,0,0,0,4.651941176470588,0,0.19117647058823528,0.2774705882352941
